pretty_formula,composition,elements,elements_tuple
LiCaS2,Li1Ca1S2,"['Ca', 'Li', 'S']","('Ca', 'Li', 'S')"
LiC2S3,Li1C2S3,"['C', 'Li', 'S']","('C', 'Li', 'S')"
LiB2S,Li1B2S1,"['B', 'Li', 'S']","('B', 'Li', 'S')"
LiBS2,Li1B1S2,"['B', 'Li', 'S']","('B', 'Li', 'S')"
LiMg3S2,Li1Mg3S2,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
Li3PbS2,Li3Pb1S2,"['Li', 'Pb', 'S']","('Li', 'Pb', 'S')"
LiSN2,Li1S1N2,"['Li', 'N', 'S']","('Li', 'N', 'S')"
LiGa3S2,Li1Ga3S2,"['Ga', 'Li', 'S']","('Ga', 'Li', 'S')"
LiAs2S,Li1As2S1,"['As', 'Li', 'S']","('As', 'Li', 'S')"
LiS2O,Li1S2O1,"['Li', 'O', 'S']","('Li', 'O', 'S')"
Li2CaS,Li2Ca1S1,"['Ca', 'Li', 'S']","('Ca', 'Li', 'S')"
Li3Al2S,Li3Al2S1,"['Al', 'Li', 'S']","('Al', 'Li', 'S')"
LiS2Cl3,Li1S2Cl3,"['Cl', 'Li', 'S']","('Cl', 'Li', 'S')"
Li3SI2,Li3S1I2,"['I', 'Li', 'S']","('I', 'Li', 'S')"
LiHg3S2,Li1Hg3S2,"['Hg', 'Li', 'S']","('Hg', 'Li', 'S')"
Na2LiS,Na2Li1S1,"['Li', 'Na', 'S']","('Li', 'Na', 'S')"
Li3Ga2S,Li3Ga2S1,"['Ga', 'Li', 'S']","('Ga', 'Li', 'S')"
LiSe2S3,Li1Se2S3,"['Li', 'S', 'Se']","('Li', 'S', 'Se')"
NaLi3S2,Na1Li3S2,"['Li', 'Na', 'S']","('Li', 'Na', 'S')"
LiPb3S2,Li1Pb3S2,"['Li', 'Pb', 'S']","('Li', 'Pb', 'S')"
Li2SCl,Li2S1Cl1,"['Cl', 'Li', 'S']","('Cl', 'Li', 'S')"
LiGa2S3,Li1Ga2S3,"['Ga', 'Li', 'S']","('Ga', 'Li', 'S')"
LiC3S2,Li1C3S2,"['C', 'Li', 'S']","('C', 'Li', 'S')"
LiAl2S,Li1Al2S1,"['Al', 'Li', 'S']","('Al', 'Li', 'S')"
LiS2N,Li1S2N1,"['Li', 'N', 'S']","('Li', 'N', 'S')"
Ba2Li3S,Ba2Li3S1,"['Ba', 'Li', 'S']","('Ba', 'Li', 'S')"
LiSF,Li1S1F1,"['F', 'Li', 'S']","('F', 'Li', 'S')"
Ba2LiS3,Ba2Li1S3,"['Ba', 'Li', 'S']","('Ba', 'Li', 'S')"
Li2CS,Li2C1S1,"['C', 'Li', 'S']","('C', 'Li', 'S')"
Li2GaS,Li2Ga1S1,"['Ga', 'Li', 'S']","('Ga', 'Li', 'S')"
LiS3,Li1S3,"['Li', 'S']","('Li', 'S')"
LiSCl,Li1S1Cl1,"['Cl', 'Li', 'S']","('Cl', 'Li', 'S')"
LiCdS,Li1Cd1S1,"['Cd', 'Li', 'S']","('Cd', 'Li', 'S')"
LiHg2S3,Li1Hg2S3,"['Hg', 'Li', 'S']","('Hg', 'Li', 'S')"
LiCdS2,Li1Cd1S2,"['Cd', 'Li', 'S']","('Cd', 'Li', 'S')"
Li3C2S,Li3C2S1,"['C', 'Li', 'S']","('C', 'Li', 'S')"
LiAsS2,Li1As1S2,"['As', 'Li', 'S']","('As', 'Li', 'S')"
BaLi3S2,Ba1Li3S2,"['Ba', 'Li', 'S']","('Ba', 'Li', 'S')"
LiAl2S3,Li1Al2S3,"['Al', 'Li', 'S']","('Al', 'Li', 'S')"
LiS,Li1S1,"['Li', 'S']","('Li', 'S')"
LiS2O3,Li1S2O3,"['Li', 'O', 'S']","('Li', 'O', 'S')"
LiGe3S2,Li1Ge3S2,"['Ge', 'Li', 'S']","('Ge', 'Li', 'S')"
LiS2Cl,Li1S2Cl1,"['Cl', 'Li', 'S']","('Cl', 'Li', 'S')"
Na3LiS2,Na3Li1S2,"['Li', 'Na', 'S']","('Li', 'Na', 'S')"
Sr2LiS3,Sr2Li1S3,"['Li', 'S', 'Sr']","('Li', 'S', 'Sr')"
LiZn2S,Li1Zn2S1,"['Li', 'S', 'Zn']","('Li', 'S', 'Zn')"
LiAs3S2,Li1As3S2,"['As', 'Li', 'S']","('As', 'Li', 'S')"
LiSi3S2,Li1Si3S2,"['Li', 'S', 'Si']","('Li', 'S', 'Si')"
Li3In2S,Li3In2S1,"['In', 'Li', 'S']","('In', 'Li', 'S')"
LiCd3S2,Li1Cd3S2,"['Cd', 'Li', 'S']","('Cd', 'Li', 'S')"
Li2CdS,Li2Cd1S1,"['Cd', 'Li', 'S']","('Cd', 'Li', 'S')"
Li2SnS,Li2Sn1S1,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
Li3InS2,Li3In1S2,"['In', 'Li', 'S']","('In', 'Li', 'S')"
Li2BS,Li2B1S1,"['B', 'Li', 'S']","('B', 'Li', 'S')"
LiMg2S,Li1Mg2S1,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
NaLiS2,Na1Li1S2,"['Li', 'Na', 'S']","('Li', 'Na', 'S')"
Li3BS2,Li3B1S2,"['B', 'Li', 'S']","('B', 'Li', 'S')"
LiS3I2,Li1S3I2,"['I', 'Li', 'S']","('I', 'Li', 'S')"
Li5S,Li5S1,"['Li', 'S']","('Li', 'S')"
LiPS2,Li1P1S2,"['Li', 'P', 'S']","('Li', 'P', 'S')"
Li3SnS2,Li3Sn1S2,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
Li3SeS2,Li3Se1S2,"['Li', 'S', 'Se']","('Li', 'S', 'Se')"
LiMgS,Li1Mg1S1,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
LiHgS2,Li1Hg1S2,"['Hg', 'Li', 'S']","('Hg', 'Li', 'S')"
Li3Sn2S,Li3Sn2S1,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
SrLiS,Sr1Li1S1,"['Li', 'S', 'Sr']","('Li', 'S', 'Sr')"
LiSiS,Li1Si1S1,"['Li', 'S', 'Si']","('Li', 'S', 'Si')"
LiMg2S3,Li1Mg2S3,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
LiInS,Li1In1S1,"['In', 'Li', 'S']","('In', 'Li', 'S')"
LiSnS2,Li1Sn1S2,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
Li3S2F,Li3S2F1,"['F', 'Li', 'S']","('F', 'Li', 'S')"
Li2SeS,Li2Se1S1,"['Li', 'S', 'Se']","('Li', 'S', 'Se')"
LiS3O2,Li1S3O2,"['Li', 'O', 'S']","('Li', 'O', 'S')"
LiS3Cl2,Li1S3Cl2,"['Cl', 'Li', 'S']","('Cl', 'Li', 'S')"
Sr2Li3S,Sr2Li3S1,"['Li', 'S', 'Sr']","('Li', 'S', 'Sr')"
LiPS,Li1P1S1,"['Li', 'P', 'S']","('Li', 'P', 'S')"
LiP2S3,Li1P2S3,"['Li', 'P', 'S']","('Li', 'P', 'S')"
Li3SN2,Li3S1N2,"['Li', 'N', 'S']","('Li', 'N', 'S')"
LiSe3S2,Li1Se3S2,"['Li', 'S', 'Se']","('Li', 'S', 'Se')"
Li3P2S,Li3P2S1,"['Li', 'P', 'S']","('Li', 'P', 'S')"
NaLi2S,Na1Li2S1,"['Li', 'Na', 'S']","('Li', 'Na', 'S')"
Na2LiS3,Na2Li1S3,"['Li', 'Na', 'S']","('Li', 'Na', 'S')"
Li3S2N,Li3S2N1,"['Li', 'N', 'S']","('Li', 'N', 'S')"
Li3PS2,Li3P1S2,"['Li', 'P', 'S']","('Li', 'P', 'S')"
SrLi3S2,Sr1Li3S2,"['Li', 'S', 'Sr']","('Li', 'S', 'Sr')"
Ba2LiS,Ba2Li1S1,"['Ba', 'Li', 'S']","('Ba', 'Li', 'S')"
Li3SO2,Li3S1O2,"['Li', 'O', 'S']","('Li', 'O', 'S')"
Li3ZnS2,Li3Zn1S2,"['Li', 'S', 'Zn']","('Li', 'S', 'Zn')"
Li3GeS2,Li3Ge1S2,"['Ge', 'Li', 'S']","('Ge', 'Li', 'S')"
LiHgS,Li1Hg1S1,"['Hg', 'Li', 'S']","('Hg', 'Li', 'S')"
LiCa2S3,Li1Ca2S3,"['Ca', 'Li', 'S']","('Ca', 'Li', 'S')"
Li2SiS,Li2Si1S1,"['Li', 'S', 'Si']","('Li', 'S', 'Si')"
LiGe2S3,Li1Ge2S3,"['Ge', 'Li', 'S']","('Ge', 'Li', 'S')"
Li2InS,Li2In1S1,"['In', 'Li', 'S']","('In', 'Li', 'S')"
Li2SO,Li2S1O1,"['Li', 'O', 'S']","('Li', 'O', 'S')"
Li2HgS,Li2Hg1S1,"['Hg', 'Li', 'S']","('Hg', 'Li', 'S')"
LiPb2S3,Li1Pb2S3,"['Li', 'Pb', 'S']","('Li', 'Pb', 'S')"
LiS2I,Li1S2I1,"['I', 'Li', 'S']","('I', 'Li', 'S')"
Li3SCl2,Li3S1Cl2,"['Cl', 'Li', 'S']","('Cl', 'Li', 'S')"
Li3S2Cl,Li3S2Cl1,"['Cl', 'Li', 'S']","('Cl', 'Li', 'S')"
LiAl3S2,Li1Al3S2,"['Al', 'Li', 'S']","('Al', 'Li', 'S')"
LiAs2S3,Li1As2S3,"['As', 'Li', 'S']","('As', 'Li', 'S')"
LiIn2S3,Li1In2S3,"['In', 'Li', 'S']","('In', 'Li', 'S')"
LiZn2S3,Li1Zn2S3,"['Li', 'S', 'Zn']","('Li', 'S', 'Zn')"
LiSI,Li1S1I1,"['I', 'Li', 'S']","('I', 'Li', 'S')"
Li3CaS2,Li3Ca1S2,"['Ca', 'Li', 'S']","('Ca', 'Li', 'S')"
Li3S2I,Li3S2I1,"['I', 'Li', 'S']","('I', 'Li', 'S')"
LiS2,Li1S2,"['Li', 'S']","('Li', 'S')"
Li2MgS,Li2Mg1S1,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
LiSeS,Li1Se1S1,"['Li', 'S', 'Se']","('Li', 'S', 'Se')"
LiAlS2,Li1Al1S2,"['Al', 'Li', 'S']","('Al', 'Li', 'S')"
Li2SI,Li2S1I1,"['I', 'Li', 'S']","('I', 'Li', 'S')"
Li2AsS,Li2As1S1,"['As', 'Li', 'S']","('As', 'Li', 'S')"
Li2SN,Li2S1N1,"['Li', 'N', 'S']","('Li', 'N', 'S')"
Li2PbS,Li2Pb1S1,"['Li', 'Pb', 'S']","('Li', 'Pb', 'S')"
Li3B2S,Li3B2S1,"['B', 'Li', 'S']","('B', 'Li', 'S')"
LiP3S2,Li1P3S2,"['Li', 'P', 'S']","('Li', 'P', 'S')"
LiTe3S2,Li1Te3S2,"['Li', 'S', 'Te']","('Li', 'S', 'Te')"
Li2S,Li2S1,"['Li', 'S']","('Li', 'S')"
LiSeS2,Li1Se1S2,"['Li', 'S', 'Se']","('Li', 'S', 'Se')"
LiP2S,Li1P2S1,"['Li', 'P', 'S']","('Li', 'P', 'S')"
Sr3LiS2,Sr3Li1S2,"['Li', 'S', 'Sr']","('Li', 'S', 'Sr')"
LiSO,Li1S1O1,"['Li', 'O', 'S']","('Li', 'O', 'S')"
LiC2S,Li1C2S1,"['C', 'Li', 'S']","('C', 'Li', 'S')"
LiS2F3,Li1S2F3,"['F', 'Li', 'S']","('F', 'Li', 'S')"
LiB2S3,Li1B2S3,"['B', 'Li', 'S']","('B', 'Li', 'S')"
SrLiS2,Sr1Li1S2,"['Li', 'S', 'Sr']","('Li', 'S', 'Sr')"
Li3TeS2,Li3Te1S2,"['Li', 'S', 'Te']","('Li', 'S', 'Te')"
LiZnS,Li1Zn1S1,"['Li', 'S', 'Zn']","('Li', 'S', 'Zn')"
Li3As2S,Li3As2S1,"['As', 'Li', 'S']","('As', 'Li', 'S')"
LiGeS,Li1Ge1S1,"['Ge', 'Li', 'S']","('Ge', 'Li', 'S')"
LiGa2S,Li1Ga2S1,"['Ga', 'Li', 'S']","('Ga', 'Li', 'S')"
LiSn3S2,Li1Sn3S2,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
LiPbS2,Li1Pb1S2,"['Li', 'Pb', 'S']","('Li', 'Pb', 'S')"
LiZnS2,Li1Zn1S2,"['Li', 'S', 'Zn']","('Li', 'S', 'Zn')"
Li2ZnS,Li2Zn1S1,"['Li', 'S', 'Zn']","('Li', 'S', 'Zn')"
LiAlS,Li1Al1S1,"['Al', 'Li', 'S']","('Al', 'Li', 'S')"
LiGeS2,Li1Ge1S2,"['Ge', 'Li', 'S']","('Ge', 'Li', 'S')"
LiSnS,Li1Sn1S1,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
LiSCl2,Li1S1Cl2,"['Cl', 'Li', 'S']","('Cl', 'Li', 'S')"
Li3CS2,Li3C1S2,"['C', 'Li', 'S']","('C', 'Li', 'S')"
LiSO2,Li1S1O2,"['Li', 'O', 'S']","('Li', 'O', 'S')"
Li3Se2S,Li3Se2S1,"['Li', 'S', 'Se']","('Li', 'S', 'Se')"
Li3CdS2,Li3Cd1S2,"['Cd', 'Li', 'S']","('Cd', 'Li', 'S')"
Li2TeS,Li2Te1S1,"['Li', 'S', 'Te']","('Li', 'S', 'Te')"
Li3Si2S,Li3Si2S1,"['Li', 'S', 'Si']","('Li', 'S', 'Si')"
LiSe2S,Li1Se2S1,"['Li', 'S', 'Se']","('Li', 'S', 'Se')"
Li2SF,Li2S1F1,"['F', 'Li', 'S']","('F', 'Li', 'S')"
Li2PS,Li2P1S1,"['Li', 'P', 'S']","('Li', 'P', 'S')"
Li3Cd2S,Li3Cd2S1,"['Cd', 'Li', 'S']","('Cd', 'Li', 'S')"
BaLiS,Ba1Li1S1,"['Ba', 'Li', 'S']","('Ba', 'Li', 'S')"
LiPbS,Li1Pb1S1,"['Li', 'Pb', 'S']","('Li', 'Pb', 'S')"
LiIn2S,Li1In2S1,"['In', 'Li', 'S']","('In', 'Li', 'S')"
BaLi2S,Ba1Li2S1,"['Ba', 'Li', 'S']","('Ba', 'Li', 'S')"
Li3S,Li3S1,"['Li', 'S']","('Li', 'S')"
Li2AlS,Li2Al1S1,"['Al', 'Li', 'S']","('Al', 'Li', 'S')"
LiGaS,Li1Ga1S1,"['Ga', 'Li', 'S']","('Ga', 'Li', 'S')"
Na2Li3S,Na2Li3S1,"['Li', 'Na', 'S']","('Li', 'Na', 'S')"
Li2GeS,Li2Ge1S1,"['Ge', 'Li', 'S']","('Ge', 'Li', 'S')"
LiCS,Li1C1S1,"['C', 'Li', 'S']","('C', 'Li', 'S')"
LiCa2S,Li1Ca2S1,"['Ca', 'Li', 'S']","('Ca', 'Li', 'S')"
LiGe2S,Li1Ge2S1,"['Ge', 'Li', 'S']","('Ge', 'Li', 'S')"
Sr2LiS,Sr2Li1S1,"['Li', 'S', 'Sr']","('Li', 'S', 'Sr')"
LiCa3S2,Li1Ca3S2,"['Ca', 'Li', 'S']","('Ca', 'Li', 'S')"
LiIn3S2,Li1In3S2,"['In', 'Li', 'S']","('In', 'Li', 'S')"
Li3HgS2,Li3Hg1S2,"['Hg', 'Li', 'S']","('Hg', 'Li', 'S')"
LiSN,Li1S1N1,"['Li', 'N', 'S']","('Li', 'N', 'S')"
Li3Hg2S,Li3Hg2S1,"['Hg', 'Li', 'S']","('Hg', 'Li', 'S')"
LiS2N3,Li1S2N3,"['Li', 'N', 'S']","('Li', 'N', 'S')"
LiSI2,Li1S1I2,"['I', 'Li', 'S']","('I', 'Li', 'S')"
Li3Mg2S,Li3Mg2S1,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
LiTe2S,Li1Te2S1,"['Li', 'S', 'Te']","('Li', 'S', 'Te')"
Li3Ca2S,Li3Ca2S1,"['Ca', 'Li', 'S']","('Ca', 'Li', 'S')"
Li3AlS2,Li3Al1S2,"['Al', 'Li', 'S']","('Al', 'Li', 'S')"
NaLiS,Na1Li1S1,"['Li', 'Na', 'S']","('Li', 'Na', 'S')"
Li3Ge2S,Li3Ge2S1,"['Ge', 'Li', 'S']","('Ge', 'Li', 'S')"
LiCd2S,Li1Cd2S1,"['Cd', 'Li', 'S']","('Cd', 'Li', 'S')"
LiGaS2,Li1Ga1S2,"['Ga', 'Li', 'S']","('Ga', 'Li', 'S')"
LiSi2S3,Li1Si2S3,"['Li', 'S', 'Si']","('Li', 'S', 'Si')"
LiS3F2,Li1S3F2,"['F', 'Li', 'S']","('F', 'Li', 'S')"
SrLi2S,Sr1Li2S1,"['Li', 'S', 'Sr']","('Li', 'S', 'Sr')"
Li3S2O,Li3S2O1,"['Li', 'O', 'S']","('Li', 'O', 'S')"
LiCd2S3,Li1Cd2S3,"['Cd', 'Li', 'S']","('Cd', 'Li', 'S')"
LiS2F,Li1S2F1,"['F', 'Li', 'S']","('F', 'Li', 'S')"
LiBS,Li1B1S1,"['B', 'Li', 'S']","('B', 'Li', 'S')"
Li3SF2,Li3S1F2,"['F', 'Li', 'S']","('F', 'Li', 'S')"
LiSn2S3,Li1Sn2S3,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
LiTeS2,Li1Te1S2,"['Li', 'S', 'Te']","('Li', 'S', 'Te')"
BaLiS2,Ba1Li1S2,"['Ba', 'Li', 'S']","('Ba', 'Li', 'S')"
LiS2I3,Li1S2I3,"['I', 'Li', 'S']","('I', 'Li', 'S')"
LiCS2,Li1C1S2,"['C', 'Li', 'S']","('C', 'Li', 'S')"
LiSn2S,Li1Sn2S1,"['Li', 'S', 'Sn']","('Li', 'S', 'Sn')"
LiCaS,Li1Ca1S1,"['Ca', 'Li', 'S']","('Ca', 'Li', 'S')"
LiAsS,Li1As1S1,"['As', 'Li', 'S']","('As', 'Li', 'S')"
LiMgS2,Li1Mg1S2,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
LiTeS,Li1Te1S1,"['Li', 'S', 'Te']","('Li', 'S', 'Te')"
Li3GaS2,Li3Ga1S2,"['Ga', 'Li', 'S']","('Ga', 'Li', 'S')"
Li3Te2S,Li3Te2S1,"['Li', 'S', 'Te']","('Li', 'S', 'Te')"
LiSiS2,Li1Si1S2,"['Li', 'S', 'Si']","('Li', 'S', 'Si')"
Li3Zn2S,Li3Zn2S1,"['Li', 'S', 'Zn']","('Li', 'S', 'Zn')"
LiS5,Li1S5,"['Li', 'S']","('Li', 'S')"
LiTe2S3,Li1Te2S3,"['Li', 'S', 'Te']","('Li', 'S', 'Te')"
LiPb2S,Li1Pb2S1,"['Li', 'Pb', 'S']","('Li', 'Pb', 'S')"
Li3Pb2S,Li3Pb2S1,"['Li', 'Pb', 'S']","('Li', 'Pb', 'S')"
LiZn3S2,Li1Zn3S2,"['Li', 'S', 'Zn']","('Li', 'S', 'Zn')"
LiSF2,Li1S1F2,"['F', 'Li', 'S']","('F', 'Li', 'S')"
LiSi2S,Li1Si2S1,"['Li', 'S', 'Si']","('Li', 'S', 'Si')"
LiHg2S,Li1Hg2S1,"['Hg', 'Li', 'S']","('Hg', 'Li', 'S')"
LiInS2,Li1In1S2,"['In', 'Li', 'S']","('In', 'Li', 'S')"
Ba3LiS2,Ba3Li1S2,"['Ba', 'Li', 'S']","('Ba', 'Li', 'S')"
Li3MgS2,Li3Mg1S2,"['Li', 'Mg', 'S']","('Li', 'Mg', 'S')"
Li3SiS2,Li3Si1S2,"['Li', 'S', 'Si']","('Li', 'S', 'Si')"
Li3AsS2,Li3As1S2,"['As', 'Li', 'S']","('As', 'Li', 'S')"
LiB3S2,Li1B3S2,"['B', 'Li', 'S']","('B', 'Li', 'S')"
LiS3N2,Li1S3N2,"['Li', 'N', 'S']","('Li', 'N', 'S')"
