id,composition,target,pred_0
0,Na1Li6S4,0.0,3.1030819416046143
1,Li17Se6S5,0.0,2.161156177520752
2,Li1Se2S1,0.0,2.7190699577331543
3,Na5Li1S2,0.0,2.516691207885742
4,Li3Hg8S5,0.0,0.8542633056640625
5,Li1P2S1,0.0,2.1505558490753174
6,Li7S5,0.0,3.473522186279297
7,Li2Si19S15,0.0,2.112391471862793
8,Li17Mg5S6,0.0,2.894622802734375
9,Li6Pb1S4,0.0,1.1119027137756348
10,Li1Ga1S2,0.0,3.9486303329467773
11,Li6In1S4,0.0,2.9994304180145264
12,Li1S2,0.0,4.491009712219238
13,Ba1Li2S2,0.0,3.4720025062561035
14,Li6Zn1S4,0.0,2.650219440460205
15,Li17Se5S6,0.0,2.1572558879852295
16,Li2In15S19,0.0,1.9061670303344727
17,Li6Sn1S4,0.0,1.300834059715271
18,Li1Se5S2,0.0,2.391655921936035
19,Li2Sn1S6,0.0,2.1599667072296143
20,Li2Ca2S1,0.0,2.410489559173584
21,Li2Zn19S15,0.0,2.2627670764923096
22,Li6Mg4S1,0.0,1.78816556930542
23,Li2S19I15,0.0,2.7281908988952637
24,Li1Al5S2,0.0,2.9281046390533447
25,Sr1Li6S4,0.0,3.400786876678467
26,Li2Ga15S19,0.0,3.5146281719207764
27,Li1S1,0.0,4.5294342041015625
28,Li6Pb4S1,0.0,0.28876185417175293
29,Li6As4S1,0.0,0.9333841800689697
30,Li3S13,0.0,2.6846563816070557
31,Li1Cd1S2,0.0,2.8600478172302246
32,Li2Si1S6,0.0,3.510528564453125
33,Na6Li17S5,0.0,2.3413875102996826
34,Li3Cd5S8,0.0,2.553285598754883
35,Li1Ge5S2,0.0,0.4266701936721802
36,Li2Te2S1,0.0,1.6136815547943115
37,Li2Se1S6,0.0,2.3552727699279785
38,Li1S2O5,0.0,6.265999794006348
39,Li1Te1S2,0.0,2.5078577995300293
40,Li1S2Cl1,0.0,5.328657627105713
41,Li1S5F2,0.0,6.81307315826416
42,Li23S5,0.0,1.8744295835494995
43,Li2Se6S1,0.0,2.014909267425537
44,Li3S1,0.0,2.239781141281128
45,Li1S2I5,0.0,2.379991054534912
46,Li2P1S2,0.0,3.407032012939453
47,Li2Zn1S6,0.0,2.8295750617980957
48,Li1Se1S2,0.0,3.086036205291748
49,Ba6Li17S5,0.0,2.1577372550964355
50,Li2B6S1,0.0,2.205274820327759
51,Li2Te15S19,0.0,1.9266501665115356
52,Li3Te8S5,0.0,1.5440237522125244
53,Li2Pb15S19,0.0,0.2281566858291626
54,Li6S4Cl1,0.0,3.4328277111053467
55,Li1As1S2,0.0,1.9679925441741943
56,Li1P5S2,0.0,1.3494353294372559
57,Li6Sn4S1,0.0,0.35535120964050293
58,Ba1Li6S4,0.0,2.9214601516723633
59,Li2Al19S15,0.0,3.598536968231201
60,Li3Si8S5,0.0,2.156157970428467
61,Li2P2S1,0.0,2.2111589908599854
62,Li2S1Cl6,0.0,4.214334487915039
63,Li1Ga2S5,0.0,3.9180023670196533
64,Li6S1Cl4,0.0,4.080428123474121
65,Li1In2S5,0.0,2.8422605991363525
66,Li6Ge4S1,0.0,0.8099857568740845
67,Li17S6F5,0.0,4.810935974121094
68,Sr19Li2S15,0.0,2.1704328060150146
69,Li6As1S4,0.0,1.716996431350708
70,Li1S1O2,0.0,5.2933735847473145
71,Li3Mg5S8,0.0,3.8543076515197754
72,Li2As15S19,0.0,1.5509469509124756
73,Ba4Li6S1,0.0,1.8918893337249756
74,Li2Se15S19,0.0,2.771121025085449
75,Li2S3,0.0,4.878231525421143
76,Li1Ga2S1,0.0,2.888704538345337
77,Li2Cd15S19,0.0,2.1470372676849365
78,Li3Pb5S8,0.0,0.5160150527954102
79,Li3In5S8,0.0,3.0856661796569824
80,Li3Sn5S8,0.0,1.2778456211090088
81,Li2S1I6,0.0,2.0959701538085938
82,Li3Te5S8,0.0,2.3141307830810547
83,Sr5Li3S8,0.0,3.409475326538086
84,Li17S6N5,0.0,2.266547203063965
85,Ba5Li17S6,0.0,2.328917980194092
86,Li2Sn6S1,0.0,0.281893253326416
87,Li2Te6S1,0.0,0.9961225986480713
88,Na1Li2S6,0.0,3.5120363235473633
89,Na5Li17S6,0.0,2.5418999195098877
90,Li17S5N6,0.0,2.2831320762634277
91,Li2P6S1,0.0,0.9363210201263428
92,Li17Te5S6,0.0,1.7350890636444092
93,Li1In1S2,0.0,3.4877500534057617
94,Li2Pb19S15,0.0,0.120849609375
95,Li17S5I6,0.0,2.625373363494873
96,Li1Sn2S5,0.0,1.7533886432647705
97,Sr6Li17S5,0.0,2.157622814178467
98,Li2S15I19,0.0,2.614561080932617
99,Li3S5F8,0.0,7.953446388244629
100,Li6Ca4S1,0.0,1.8650074005126953
101,Li2Ca19S15,0.0,2.478191375732422
102,Li1Si2S5,0.0,3.7732632160186768
103,Li1B2S5,0.0,4.765376091003418
104,Li2S19F15,0.0,7.928267478942871
105,Sr1Li1S2,0.0,3.869135856628418
106,Li1Ge2S5,0.0,3.3864681720733643
107,Li1B1S2,0.0,4.340584754943848
108,Li1Pb2S5,0.0,0.8323811292648315
109,Sr5Li17S6,0.0,2.4810221195220947
110,Li2As1S2,0.0,1.8843262195587158
111,Li3In8S5,0.0,1.6315159797668457
112,Li3Ga8S5,0.0,3.2252392768859863
113,Li17Si6S5,0.0,2.335876703262329
114,Li6Al1S4,0.0,3.101968288421631
115,Li3Se8S5,0.0,2.933300733566284
116,Li1Cd2S5,0.0,2.5130374431610107
117,Li3Ga5S8,0.0,4.083927154541016
118,Li1S2I1,0.0,3.2648749351501465
119,Li17In6S5,0.0,2.1788783073425293
120,Li1Sn5S2,0.0,0.3237009048461914
121,Na2Li1S5,0.0,3.414339780807495
122,Li2P1S6,0.0,3.2341504096984863
123,Li17Sn6S5,0.0,0.6050806045532227
124,Li2Zn15S19,0.0,2.7605559825897217
125,Li6Hg1S4,0.0,1.974732756614685
126,Li17S19,0.0,4.812546730041504
127,Li1Pb1S2,0.0,0.8570064306259155
128,Li3As5S8,0.0,1.784721851348877
129,Li1Mg1S2,0.0,4.286758899688721
130,Li1P2S5,0.0,3.443936347961426
131,Li3S8F5,0.0,7.638798713684082
132,Li1In2S1,0.0,1.5955991744995117
133,Li3S2,0.0,3.2886576652526855
134,Li3P5S8,0.0,3.473334312438965
135,Li3Ge8S5,0.0,0.933502197265625
136,Li1Ge1S2,0.0,3.223907232284546
137,Li1Te2S1,0.0,1.5125000476837158
138,Sr15Li2S19,0.0,2.6210126876831055
139,Li1Sn2S1,0.0,0.3711433410644531
140,Li6P1S4,0.0,2.9832656383514404
141,Li6Ge1S4,0.0,2.297102928161621
142,Li6Te4S1,0.0,1.5770728588104248
143,Li6S1I4,0.0,2.6736483573913574
144,Li1As5S2,0.0,0.6187516450881958
145,Li6P4S1,0.0,1.8919031620025635
146,Li17Te6S5,0.0,1.6641805171966553
147,Li3Al5S8,0.0,4.453989028930664
148,Li2Al15S19,0.0,4.000128269195557
149,Li17P5S6,0.0,2.383580446243286
150,Li2As1S6,0.0,2.2316646575927734
151,Li3Mg8S5,0.0,2.6639046669006348
152,Li2Ge15S19,0.0,2.1563220024108887
153,Li1S17,0.0,1.1857784986495972
154,Li2S6I1,0.0,2.301708459854126
155,Li1Si1S2,0.0,3.949765205383301
156,Li6S1F4,0.0,5.356930255889893
157,Li2Al1S2,0.0,3.768880844116211
158,Sr2Li2S1,0.0,2.0540804862976074
159,Li2S15F19,0.0,8.242822647094727
160,Li1Te2S5,0.0,2.2942821979522705
161,Li6S5,0.0,3.9190874099731445
162,Li6B1S4,0.0,3.0173802375793457
163,Li1Zn2S5,0.0,3.100520610809326
164,Li17S11,0.0,3.212023973464966
165,Li6Al4S1,0.0,3.02856183052063
166,Li6Ga4S1,0.0,2.20721697807312
167,Li17As6S5,0.0,1.2315195798873901
168,Li2Ga6S1,0.0,1.9091092348098755
169,Li3P8S5,0.0,2.308342933654785
170,Li1S5I2,0.0,2.8108015060424805
171,Li2B15S19,0.0,4.790452003479004
172,Li3Zn5S8,0.0,3.0993754863739014
173,Li3Ge5S8,0.0,2.846358299255371
174,Li17Ca5S6,0.0,2.6364927291870117
175,Li3Si5S8,0.0,3.70633864402771
176,Li2Si15S19,0.0,2.8871688842773438
177,Li17Ga6S5,0.0,2.282017946243286
178,Li2In19S15,0.0,1.3097679615020752
179,Sr4Li6S1,0.0,1.5361785888671875
180,Li2Ge1S2,0.0,2.6310360431671143
181,Li6S4I1,0.0,2.5652804374694824
182,Li1P1S2,0.0,3.592054843902588
183,Li2As19S15,0.0,1.0142462253570557
184,Li6S1O4,0.0,3.9282889366149902
185,Li2S7,0.0,3.129746675491333
186,Li2Sn1S2,0.0,1.4969539642333984
187,Li2Ga19S15,0.0,3.039822816848755
188,Li2B19S15,0.0,4.276703834533691
189,Li2Ge1S6,0.0,3.4504170417785645
190,Li1Sn1S2,0.0,1.6937137842178345
191,Li1Zn1S2,0.0,3.2546379566192627
192,Li1B5S2,0.0,3.299736738204956
193,Li1Se2S5,0.0,2.8424224853515625
194,Li1Hg2S5,0.0,1.5339336395263672
195,Li2Cd19S15,0.0,1.7853857278823853
196,Li2S1N6,0.0,3.721372365951538
197,Li2S19Cl15,0.0,5.90485954284668
198,Li2B1S2,0.0,3.622262477874756
199,Ba19Li2S15,0.0,2.5222315788269043
200,Li2In1S6,0.0,3.031177520751953
201,Li1As2S1,0.0,0.8874709606170654
202,Na2Li1S1,0.0,3.1484293937683105
203,Li2Mg19S15,0.0,2.587817668914795
204,Li2Te1S2,0.0,2.2394509315490723
205,Li2Mg1S2,0.0,4.30405330657959
206,Li2Zn1S2,0.0,2.8596105575561523
207,Li3S8Cl5,0.0,6.010619163513184
208,Li17Ca6S5,0.0,2.356602668762207
209,Li2Cd1S2,0.0,2.692457914352417
210,Li1In5S2,0.0,0.5875524282455444
211,Li1Hg1S2,0.0,1.727981686592102
212,Li6Mg1S4,0.0,3.764530897140503
213,Li2Ca1S2,0.0,3.810722827911377
214,Ba1Li1S2,0.0,3.7774672508239746
215,Li6Se4S1,0.0,2.2792932987213135
216,Li6S1N4,0.0,2.877225875854492
217,Li2Mg1S6,0.0,3.5128626823425293
218,Li2Cd1S6,0.0,2.638704538345337
219,Li17Ge6S5,0.0,1.2362269163131714
220,Li17S5F6,0.0,4.967495441436768
221,Li17Ge5S6,0.0,1.4099466800689697
222,Li1Te5S2,0.0,0.8679019212722778
223,Li17Pb5S6,0.0,0.5791174173355103
224,Li6Te1S4,0.0,2.0759055614471436
225,Li2Hg19S15,0.0,0.7221419811248779
226,Li3Pb8S5,0.0,0.14953553676605225
227,Li2P19S15,0.0,2.1601028442382812
228,Li1S3,0.0,3.5012006759643555
229,Li2Te19S15,0.0,1.426506519317627
230,Li1Ge2S1,0.0,0.8513588905334473
231,Li1Al1S2,0.0,4.118439674377441
232,Li2As6S1,0.0,0.8314826488494873
233,Li17Al6S5,0.0,3.0336670875549316
234,Li3S5,0.0,4.771548748016357
235,Li6In4S1,0.0,1.5470001697540283
236,Li3Zn8S5,0.0,2.096850872039795
237,Li2Si1S2,0.0,3.7536911964416504
238,Li1S2Cl5,0.0,5.724697113037109
239,Li10S1,0.0,1.472898244857788
240,Li2S6Cl1,0.0,3.314218044281006
241,Li3Cd8S5,0.0,1.7173887491226196
242,Li6Se1S4,0.0,2.314699649810791
243,Li1Ga5S2,0.0,2.4193170070648193
244,Li2Se19S15,0.0,2.664886474609375
245,Li7S4,0.0,2.93477725982666
246,Li8S1,0.0,1.545055627822876
247,Li1Al2S5,0.0,4.018098831176758
248,Li2B1S6,0.0,3.0268075466156006
249,Li2In1S2,0.0,3.2210769653320312
250,Li1S7,0.0,1.9468473196029663
251,Li2Pb1S2,0.0,0.8587532043457031
252,Li2Hg15S19,0.0,1.0028557777404785
253,Li2P15S19,0.0,2.689138650894165
254,Li6C1S4,0.0,2.8284711837768555
255,Li2Ge19S15,0.0,0.9920699596405029
256,Ba1Li2S6,0.0,3.355740785598755
257,Li1C1S2,0.0,3.945451259613037
258,Li2Se1S2,0.0,2.686272144317627
259,Li17P6S5,0.0,2.2321038246154785
260,Li4S1,0.0,2.0102884769439697
261,Na8Li3S5,0.0,3.3986244201660156
262,Li17Mg6S5,0.0,2.49833607673645
263,Li3Sn8S5,0.0,0.32874155044555664
264,Li2Pb1S6,0.0,1.417710542678833
265,Ba5Li3S8,0.0,3.5559773445129395
266,Li17As5S6,0.0,1.3123565912246704
267,Li1S2F5,0.0,7.607363700866699
268,Li3Se5S8,0.0,3.1741576194763184
269,Li1As2S5,0.0,2.172243595123291
270,Li2As2S1,0.0,1.0848748683929443
271,Li6Cd4S1,0.0,1.4309048652648926
272,Li1Ca1S2,0.0,3.912777900695801
273,Li3Ca5S8,0.0,3.6244425773620605
274,Li6C4S1,0.0,2.9129598140716553
275,Li17Ga5S6,0.0,2.3836843967437744
276,Li2S1F6,0.0,5.495581150054932
277,Li3B5S8,0.0,5.0456085205078125
278,Li3S8I5,0.0,3.2997937202453613
279,Li11S3,0.0,2.084373712539673
280,Li17In5S6,0.0,2.3338468074798584
281,Li1Pb5S2,0.0,0.13754451274871826
282,Li2Ga1S6,0.0,3.14147686958313
283,Li3Hg5S8,0.0,1.5447431802749634
284,Ba2Li2S1,0.0,2.308572769165039
285,Sr1Li2S2,0.0,3.844879627227783
286,Sr1Li2S6,0.0,3.826836585998535
287,Li2Sn19S15,0.0,0.36744725704193115
288,Li3Al8S5,0.0,3.77535343170166
289,Li17S6I5,0.0,2.6092782020568848
290,Li6Si4S1,0.0,1.8575537204742432
291,Li17Al5S6,0.0,3.0735809803009033
292,Li6Si1S4,0.0,3.4695444107055664
293,Li2Al1S6,0.0,2.7035770416259766
294,Li2Hg1S2,0.0,1.737663745880127
295,Li6Ca1S4,0.0,3.3037991523742676
296,Li2Hg1S6,0.0,1.8016746044158936
297,Li17Sn5S6,0.0,0.6889349222183228
298,Li2Ca1S6,0.0,3.3261749744415283
299,Li1S5Cl2,0.0,5.190683364868164
300,Li17Si5S6,0.0,2.6066250801086426
301,Li6Cd1S4,0.0,2.5115044116973877
302,Li2S15Cl19,0.0,6.088529586791992
303,Li17S6Cl5,0.0,3.727638006210327
304,Li3As8S5,0.0,0.8591878414154053
305,Li2Zn6S1,0.0,0.9955965280532837
306,Li2Te1S6,0.0,2.2366957664489746
307,Li1S1F2,0.0,7.0340471267700195
308,Li11S5,0.0,2.5556209087371826
309,Li2Se2S1,0.0,2.4750277996063232
310,Li2Ga1S2,0.0,3.3562827110290527
311,Li3B8S5,0.0,4.255570411682129
312,Li2In6S1,0.0,0.6945496797561646
313,Li2Sn15S19,0.0,0.7579768896102905
314,Li1Pb2S1,0.0,0.18815433979034424
315,Li6Ga1S4,0.0,2.905212163925171
316,Li17Pb6S5,0.0,0.5119357109069824
317,Ba15Li2S19,0.0,2.8707005977630615
318,Li17S5Cl6,0.0,3.7991199493408203
