pretty_formula,composition,lower_bound,upper_bound,total_range
Na(Li3S2)2,Na1Li6S4,1.9608354850000063,1.9608354999999995,1.4999993247499788e-08
Li17Se6S5,Li17Se6S5,2.032475742583329,2.032475746138893,3.5555642874385285e-09
LiSe2S,Li1Se2S1,2.1266874091543304,2.126687422838545,1.3684214650311333e-08
Na5LiS2,Na5Li1S2,0.41707611166666325,0.41707613166667024,2.0000006983877938e-08
Li3Hg8S5,Li3Hg8S5,1.8765878252380959,1.8765878300000023,4.7619064247328424e-09
LiP2S,Li1P2S1,1.7076498654523826,1.707649915452384,5.000000147248329e-08
Li7S5,Li7S5,2.129134891904764,2.1291348969772272,5.072463338251509e-09
Li2Si19S15,Li2Si19S15,1.496681390059523,1.4966813954166822,5.357159160723768e-09
Li17Mg5S6,Li17Mg5S6,0.00857656066666923,0.06427989566665726,0.05570333499998803
Li6PbS4,Li6Pb1S4,1.4710951116666617,2.106272694166674,0.6351775825000123
LiGaS2,Li1Ga1S2,1.3043649533333341,2.6357922752380993,1.3314273219047652
Li6InS4,Li6In1S4,1.4276477016666633,1.427647716666678,1.500001456378186e-08
LiS2,Li1S2,2.129134891904762,2.1291349152381036,2.3333341481190928e-08
Ba(LiS)2,Ba1Li2S2,-0.0,1.9558316766666688,1.9558316766666688
Li6ZnS4,Li6Zn1S4,1.192348906309522,2.1291348971428583,0.9367859908333362
Li17Se5S6,Li17Se5S6,2.0324757425833333,2.032475745730877,3.147543559123278e-09
Li2In15S19,Li2In15S19,2.0516985129166736,2.0516985229166553,9.999981731567686e-09
Li6SnS4,Li6Sn1S4,1.5578113191666696,1.7203677741666659,0.16255645499999627
LiSe5S2,Li1Se5S2,2.1266874116521013,2.1266874228385433,1.1186441994937013e-08
Li2SnS6,Li2Sn1S6,2.2201662112380918,2.220166225238108,1.4000016257398329e-08
Li2Ca2S,Li2Ca2S1,-0.0,0.01423206916666686,0.01423206916666686
Li2Zn19S15,Li2Zn19S15,1.1923489109523828,1.1923489163095078,5.357124965854609e-09
Li6Mg4S,Li6Mg4S1,0.008576560416667434,0.06427989666666689,0.05570333624999946
Li2S19I15,Li2S19I15,3.141030355530323,3.141030364166637,8.63631388625663e-09
LiAl5S2,Li1Al5S2,0.9655603283333347,1.5980134194444453,0.6324530911111106
Sr(Li3S2)2,Sr1Li6S4,-0.0,2.059910095416671,2.059910095416671
Li2Ga15S19,Li2Ga15S19,2.094985109166668,2.094985119166666,9.999998162868451e-09
LiS,Li1S1,2.1291348852380967,2.12913490857143,2.333333348758515e-08
Li6As4S,Li6As4S1,0.9374000560416675,0.9731775929166666,0.03577753687499907
Li3S13,Li3S13,3.1410303191666706,3.1410303625000005,4.333332981332205e-08
LiCdS2,Li1Cd1S2,2.129134885238096,2.12913490857143,2.333333437576357e-08
Li2SiS6,Li2Si1S6,2.1291348935714316,2.129134905238087,1.166665519747312e-08
Na6Li17S5,Na6Li17S5,-0.0,1.4285699290184084e-09,1.4285699290184084e-09
Li3Cd5S8,Li3Cd5S8,2.129134891904762,2.1291348996825405,7.777778421313997e-09
Li2Te2S,Li2Te2S1,2.0500134110256383,2.050013438882789,2.785715080833029e-08
Li2SeS6,Li2Se1S6,2.0324757437500014,2.032475750416662,6.666660556930992e-09
LiS2O5,Li1S2O5,3.4889954398610987,3.495804525416718,0.006809085555619099
LiTeS2,Li1Te1S2,2.5031636362878666,2.5031637187879108,8.250004412957423e-08
LiS2Cl,Li1S2Cl1,2.886446430666668,2.8864464640000023,3.333333431498886e-08
LiS5F2,Li1S5F2,3.7092551786979113,3.709255198697922,2.0000010536591617e-08
Li23S5,Li23S5,-0.0,7.692297909756007e-10,7.692297909756007e-10
Li2Se6S,Li2Se6S1,2.1266874118091312,2.126687417838542,6.029410748453756e-09
Li3S,Li3S1,-0.0,9.999999717180685e-09,9.999999717180685e-09
LiS2I5,Li1S2I5,2.8446267744444445,2.844626796666664,2.2222219620005035e-08
Li2PS2,Li2P1S2,1.707649870452383,1.707649895452389,2.5000006065312164e-08
Li2ZnS6,Li2Zn1S6,2.1291348939880956,2.129134908571438,1.4583342533569521e-08
LiSeS2,Li1Se1S2,2.126687389505209,2.1266874228385433,3.333333431498886e-08
Ba6Li17S5,Ba6Li17S5,-0.0,7.692326775554648e-10,7.692326775554648e-10
Li2B6S,Li2B6S1,0.9480586841666638,1.5865356138888864,0.6384769297222226
Li2Te15S19,Li2Te15S19,3.141030355530323,3.141030364166637,8.63631388625663e-09
Li3Te8S5,Li3Te8S5,2.7880449674242476,2.7880449840476125,1.662336490682037e-08
Li6S4Cl,Li6S4Cl1,2.129134891904765,2.129134897738096,5.833331151450238e-09
LiAsS2,Li1As1S2,1.903691282291664,2.2255137991666682,0.3218225168750042
LiP5S2,Li1P5S2,2.0428486684523546,2.0428486984523904,3.000003578890187e-08
Ba(Li3S2)2,Ba1Li6S4,-0.0,1.9558316766666781,1.9558316766666781
Li2Al19S15,Li2Al19S15,1.5980134076262686,1.5980134144444302,6.818161590871341e-09
Li3Si8S5,Li3Si8S5,1.4966813889880974,1.4966813937499963,4.761898875216275e-09
Li2P2S,Li2P2S1,1.2717621341666803,1.7076498834523823,0.43588774928570206
Li2SCl6,Li2S1Cl6,3.5260458811458317,4.273852499166672,0.7478066180208405
LiGa2S5,Li1Ga2S5,2.635792255809524,2.635792283809523,2.799999876401671e-08
Li6SCl4,Li6S1Cl4,-0.0,2.12913490095238,2.12913490095238
LiIn2S5,Li1In2S5,2.582973235095235,2.582973263095238,2.8000003204908808e-08
Li6Ge4S,Li6Ge4S1,0.44688684866666684,0.5671177416666668,0.120230893
Li17S6F5,Li17S6F5,-0.0,2.129134896190477,2.129134896190477
Sr19Li2S15,Sr19Li2S15,-0.0,5.000002856192509e-09,5.000002856192509e-09
Li6AsS4,Li6As1S4,1.8426497700000009,1.8426497850000048,1.5000003905640824e-08
LiSO2,Li1S1O2,2.083659640611983,2.0836599606119783,3.1999999539067403e-07
Li3Mg5S8,Li3Mg5S8,2.129134891904764,2.129134899682538,7.777773980421898e-09
Li2As15S19,Li2As15S19,2.059303044791678,2.059303054791657,9.999979067032427e-09
Ba4Li6S,Ba4Li6S1,0.0009245433333329167,0.000924546666667192,3.3333342752683848e-09
Li2Se15S19,Li2Se15S19,2.126687412395504,2.1266874178385464,5.443042461195091e-09
Li2S3,Li2S3,2.1291348927380955,2.129134903238098,1.0500002645130735e-08
LiGa2S,Li1Ga2S1,1.3043649466666691,1.3043649766666672,2.999999804131903e-08
Li2Cd15S19,Li2Cd15S19,2.1291348935714334,2.129134905238076,1.1666642762975243e-08
Li3Pb5S8,Li3Pb5S8,2.106272685833332,2.106272692500001,6.666668994625979e-09
Li3In5S8,Li3In5S8,1.7679802916666674,2.051698522916664,0.28371823124999684
Li3Sn5S8,Li3Sn5S8,1.9593249741666825,1.9593249874999974,1.3333314896613047e-08
Li2SI6,Li2S1I6,2.844626774313726,2.844626782380952,8.06722599833165e-09
Li3Te5S8,Li3Te5S8,2.7880449633333253,2.78804498833334,2.500001450300715e-08
Sr5Li3S8,Sr5Li3S8,2.0599100895833424,2.0599100962499937,6.666651231057585e-09
Li17S6N5,Li17S6N5,0.48410140066666996,0.48410140466666096,3.999991005088077e-09
Ba5Li17S6,Ba5Li17S6,-0.0,6.666658336484943e-10,6.666658336484943e-10
Li2Te6S,Li2Te6S1,2.788044938333327,2.7880449840476205,4.571429368382951e-08
Na(LiS3)2,Na1Li2S6,2.1291348932380965,2.129134904126988,1.0888891566196435e-08
Na5Li17S6,Na5Li17S6,-0.0,1.999994614365619e-09,1.999994614365619e-09
Li17S5N6,Li17S5N6,0.48410140075757857,0.48410140366667154,2.909092966518756e-09
Li2P6S,Li2P6S1,1.2717621574999955,1.7076498834523886,0.435887725952393
Li17Te5S6,Li17Te5S6,1.562918972333334,1.5629189773333318,4.999997749166596e-09
LiInS2,Li1In1S2,1.4276477033333337,2.5829732545238135,1.1553255511904799
Li17S5I6,Li17S5I6,-0.0,9.9999732938727e-09,9.9999732938727e-09
LiSn2S5,Li1Sn2S5,2.220166205238101,2.2201662285714194,2.3333318388552016e-08
Sr6Li17S5,Sr6Li17S5,-0.0,5.882356823860846e-10,5.882356823860846e-10
Li2S15I19,Li2S15I19,3.1410303534523765,3.1410303641666744,1.0714297893343883e-08
Li3S5F8,Li3S5F8,3.70925518669792,3.709255192031244,5.333324004652695e-09
Li6Ca4S,Li6Ca4S1,-0.0,0.014232065833332808,0.014232065833332808
Li2Ca19S15,Li2Ca19S15,0.014232062499995868,0.01423206916668085,6.666684981837534e-09
LiSi2S5,Li1Si2S5,2.1291348852381073,2.1291349085714124,2.333330506587572e-08
LiB2S5,Li1B2S5,2.1752795923809796,2.175279615714249,2.3333269538738932e-08
Li2S19F15,Li2S19F15,3.7092551879286857,3.7092551936979214,5.769235755792579e-09
SrLiS2,Sr1Li1S2,2.059910082916674,2.059910102916662,1.9999988332131124e-08
LiGe2S5,Li1Ge2S5,2.287524233333343,2.2875242566666545,2.3333311283124658e-08
LiBS2,Li1B1S2,1.6066680726388918,2.023678212291662,0.4170101396527701
LiPb2S5,Li1Pb2S5,2.1291348852381073,2.129134908571417,2.333330950676782e-08
Sr5Li17S6,Sr5Li17S6,-0.0,6.6666383524705e-10,6.6666383524705e-10
Li2AsS2,Li2As1S2,1.8426497700000009,1.8975901177083379,0.054940347708337
Li3In8S5,Li3In8S5,1.4276477052380971,1.4276477266666525,2.142855537456967e-08
Li3Ga8S5,Li3Ga8S5,1.3043649552380985,1.304364976666645,2.1428546492785472e-08
Li17Si6S5,Li17Si6S5,0.3569082621428641,0.35690826499999506,2.85713097625262e-09
Li6AlS4,Li6Al1S4,0.9655603266666728,0.9655603416666576,1.49999848098048e-08
Li3Se8S5,Li3Se8S5,2.126687411974344,2.126687416171877,4.197532987859631e-09
LiCd2S5,Li1Cd2S5,2.1291348932380956,2.1291349352381097,4.200001413323662e-08
Li3Ga5S8,Li3Ga5S8,1.4964254216666761,2.0949851191666617,0.5985596974999856
LiS2I,Li1S2I1,2.8446267566666608,2.844626796666674,4.0000013079577457e-08
Li17In6S5,Li17In6S5,0.5009315193939745,0.5009315413939359,2.1999961408170066e-08
Na2LiS5,Na2Li1S5,2.021773197916668,2.02177321791667,2.000000209889663e-08
Li2PS6,Li2P1S6,2.3688103921739163,2.368810406113303,1.393938653393434e-08
Li17Sn6S5,Li17Sn6S5,0.49540247898809575,0.49540249041667694,1.142858119251855e-08
Li2Zn15S19,Li2Zn15S19,2.1291348935714343,2.129134905238069,1.1666634769369466e-08
Li6HgS4,Li6Hg1S4,1.8765878216666674,2.1291348971428574,0.25254707547619004
Li17S19,Li17S19,2.129134894761906,2.129134896054424,1.2925180925549284e-09
LiPbS2,Li1Pb1S2,2.1062726791666657,2.1062726991666683,2.000000254298584e-08
Li3As5S8,Li3As5S8,1.9036912956250012,2.059303054791661,0.1556117591666597
LiMgS2,Li1Mg1S2,2.129134885238096,2.12913490857143,2.333333437576357e-08
LiP2S5,Li1P2S5,2.246809200520813,2.246809280520968,8.000015494502577e-08
Li3S8F5,Li3S8F5,3.7092551836979233,3.7092551920312467,8.333323364695389e-09
LiIn2S,Li1In2S1,1.427647696666667,1.4276477266666703,3.000000337038955e-08
Li3S2,Li3S2,2.1291348852380976,2.129134899238097,1.3999999382008355e-08
Li3P5S8,Li3P5S8,2.1584183132031205,2.1584183273697937,1.416667316789244e-08
Li3Ge8S5,Li3Ge8S5,1.88216990666667,1.8821699149999973,8.333327361498277e-09
LiGeS2,Li1Ge1S2,1.9050547954166617,1.9050548354166699,4.000000819459615e-08
LiTe2S,Li1Te2S1,2.5031636137878506,2.503163778787952,1.6500010158182477e-07
Sr15Li2S19,Sr15Li2S19,2.059910091250008,2.0599100979166494,6.666641461094969e-09
Li6PS4,Li6P1S4,1.707649870452387,1.707649878785714,8.333326917409067e-09
Li6GeS4,Li6Ge1S4,1.6202451566666647,1.62024516666667,1.0000005268295808e-08
Li6Te4S,Li6Te4S1,1.562918971833334,1.562918978083332,6.24999785259206e-09
Li6SI4,Li6S1I4,-0.0,2.1291349009523817,2.1291349009523817
LiAs5S2,Li1As5S2,1.8975900877083243,1.897590107708342,2.0000017642018975e-08
Li6P4S,Li6P4S1,0.8697028616666671,0.9324093929166639,0.06270653124999681
Li17Te6S5,Li17Te6S5,1.5629189723333328,1.5629189763333344,4.0000016632291135e-09
Li3Al5S8,Li3Al5S8,1.5980133994444365,1.5980134144444516,1.500001500787107e-08
Li2Al15S19,Li2Al15S19,1.5980134081111146,1.5980134144444365,6.333321866947017e-09
Li17P5S6,Li17P5S6,0.8697028619166662,0.9324093920416687,0.06270653012500249
Li2AsS6,Li2As1S6,2.1622725609523714,2.225513799166679,0.0632412382143075
Li3Mg8S5,Li3Mg8S5,0.590027024613518,0.5900270293870773,4.773559325599308e-09
Li2Ge15S19,Li2Ge15S19,1.905054822416655,1.9050548304166837,8.000028639543189e-09
LiS17,Li1S17,3.1410303560897512,3.1410303691666446,1.3076893345953522e-08
Li2S6I,Li2S6I1,2.8446267566666457,2.8446267966666827,4.000003706039479e-08
LiSiS2,Li1Si1S2,1.496681387083334,1.4966814004166675,1.333333354835986e-08
Li6SF4,Li6S1F4,-0.0,2.1291349009523826,2.1291349009523826
Li2AlS2,Li2Al1S2,0.9655603266666679,0.9655603416666669,1.4999999020659516e-08
Sr2Li2S,Sr2Li2S1,-0.0,4.999999969612645e-09,4.999999969612645e-09
Li2S15F19,Li2S15F19,3.709255188109677,3.7092551936979508,5.588273843670777e-09
LiTe2S5,Li1Te2S5,3.1410303191666467,3.141030369166672,5.000002545330062e-08
Li6S5,Li6S5,2.1291348927380946,2.129134897343362,4.605267278634528e-09
Li6BS4,Li6B1S4,1.5865355988888874,1.5865356138888926,1.5000005237908454e-08
LiZn2S5,Li1Zn2S5,2.1291348932380956,2.129134935238125,4.200002923226975e-08
Li17S11,Li17S11,2.1291348932380982,2.129134895939851,2.70175259942107e-09
Li6Al4S,Li6Al4S1,0.22573910166666522,0.32959545541666824,0.10385635375000302
Li6Ga4S,Li6Ga4S1,0.4352997866666337,0.5432268381666803,0.10792705150004656
Li17As6S5,Li17As6S5,0.9374000563825788,0.9374000672916423,1.0909063430375454e-08
Li2Ga6S,Li2Ga6S1,0.8484749783333272,1.3043649633333407,0.45588998500001354
Li3P8S5,Li3P8S5,2.0428486751190373,2.042848691785713,1.6666675595189417e-08
LiS5I2,Li1S5I2,3.141030319166653,3.141030369166672,5.0000019236051685e-08
Li2B15S19,Li2B15S19,1.8469909825781938,1.846990989462137,6.883943193258801e-09
Li3Zn5S8,Li3Zn5S8,2.129134891904762,2.1291348996825405,7.777778421313997e-09
Li3Ge5S8,Li3Ge5S8,1.9050548154166735,1.9050548287499987,1.3333325110664873e-08
Li17Ca5S6,Li17Ca5S6,-0.0,6.666664997823091e-10,6.666664997823091e-10
Li3Si5S8,Li3Si5S8,1.4966813896474367,1.496681393749998,4.102561401708726e-09
Li2Si15S19,Li2Si15S19,1.4966813901388902,1.4966813954166494,5.277759118627046e-09
Li17Ga6S5,Li17Ga6S5,0.4352997766667994,0.43529980666660295,2.999980353024512e-08
Li2In19S15,Li2In19S15,1.7679802998484693,1.7679803066667144,6.818245079642793e-09
Sr4Li6S,Sr4Li6S1,-0.0,1.66666658252268e-09,1.66666658252268e-09
Li2GeS2,Li2Ge1S2,1.620245156666666,1.882169926666676,0.26192477000001
Li6S4I,Li6S4I1,2.129134891904762,2.1291348977380977,5.833335592342337e-09
LiPS2,Li1P1S2,2.158418259036461,2.1584183390364577,7.999999684926706e-08
Li2As19S15,Li2As19S15,1.897590096939107,1.8975901027083042,5.769197120031322e-09
Li6SO4,Li6S1O4,1.5709801051041663,1.5709801101041667,5.000000413701855e-09
Li2S7,Li2S7,2.129134894404764,2.1291349352380893,4.0833325165579026e-08
Li2SnS2,Li2Sn1S2,1.557811319166667,1.7203677841666716,0.16255646500000465
Li2Ga19S15,Li2Ga19S15,1.4964254298484656,1.496425436666717,6.818251296891731e-09
Li2B19S15,Li2B19S15,1.8469909818091956,1.8469909894621495,7.652953826209341e-09
Li2GeS6,Li2Ge1S6,2.287524239333334,2.287524253333336,1.4000002046543614e-08
LiSnS2,Li1Sn1S2,1.9593249541666644,1.9593249941666695,4.000000508597168e-08
LiZnS2,Li1Zn1S2,2.129134885238096,2.12913490857143,2.333333437576357e-08
LiB5S2,Li1B5S2,1.6066680726388909,1.6066681259722482,5.3333357286078353e-08
LiSe2S5,Li1Se2S5,2.126687406474905,2.126687422838545,1.636364022061798e-08
LiHg2S5,Li1Hg2S5,2.1291348932380956,2.1291349352381097,4.200001413323662e-08
Li2Cd19S15,Li2Cd19S15,1.363441256309525,1.3634412616666554,5.357130294925128e-09
Li2SN6,Li2S1N6,1.6086380466666599,2.1130380068452412,0.5043999601785814
Li2S19Cl15,Li2S19Cl15,2.886446450103289,2.886446460666666,1.0563376839911598e-08
Li2BS2,Li2B1S2,1.58653559888889,1.6066680926388917,0.02013249375000159
Ba19Li2S15,Ba19Li2S15,0.0009245442857130914,0.0009245500000039097,5.71429081830388e-09
Li2InS6,Li2In1S6,2.1291348938095256,2.58297325452381,0.4538383607142844
LiAs2S,Li1As2S1,1.842649765,1.897590107708334,0.05494034270833392
Na2LiS,Na2Li1S1,0.3796912916666684,0.41707613166666757,0.0373848399999992
Li2Mg19S15,Li2Mg19S15,0.5900270256756919,0.5900270310992553,5.423563376183438e-09
Li2TeS2,Li2Te1S2,2.050013421739928,2.050013444025642,2.2285713718872557e-08
Li2MgS2,Li2Mg1S2,0.5900270210479399,2.129134900952381,1.5391078799044409
Li2ZnS2,Li2Zn1S2,1.1923489063095234,2.1291349009523834,0.93678599464286
Li3S8Cl5,Li3S8Cl5,2.8864464481666703,2.8864464551111064,6.944436137246157e-09
Li17Ca6S5,Li17Ca6S5,-0.0,6.666673879607288e-10,6.666673879607288e-10
Li2CdS2,Li2Cd1S2,1.3634412516666656,2.1291349009523843,0.7656936492857187
LiIn5S2,Li1In5S2,1.4276477033333355,1.767980311666669,0.34033260833333356
LiHgS2,Li1Hg1S2,2.129134885238096,2.12913490857143,2.333333437576357e-08
Li6MgS4,Li6Mg1S4,0.5900270210479346,2.129134897142859,1.5391078760949246
Li2CaS2,Li2Ca1S2,-0.0,2.1291349009523817,2.1291349009523817
BaLiS2,Ba1Li1S2,1.9558316616666676,1.955831681666667,1.999999943436137e-08
Li6Se4S,Li6Se4S1,2.1266874070052104,2.1266874145052084,7.499997956017523e-09
Li6SN4,Li6S1N4,0.48410140041666905,0.48410140541666413,4.999995084631337e-09
Li2MgS6,Li2Mg1S6,2.1291348939880956,2.129134908571438,1.4583342533569521e-08
Li2CdS6,Li2Cd1S6,2.1291348939880956,2.129134908571438,1.4583342533569521e-08
Li17Ge6S5,Li17Ge6S5,0.44688684912820076,0.4468868606666936,1.153849282786723e-08
Li17S5F6,Li17S5F6,-0.0,1.0000001493537525e-08,1.0000001493537525e-08
Li17Ge5S6,Li17Ge5S6,0.446886849066666,0.5671177411666668,0.12023089210000082
LiTe5S2,Li1Te5S2,2.788044969761904,2.788044998333338,2.8571434107504956e-08
Li17Pb5S6,Li17Pb5S6,0.39510908546666723,0.5438150586666666,0.14870597319999934
Li6TeS4,Li6Te1S4,2.0500134217399295,2.0500134310256417,9.285712199158525e-09
Li2Hg19S15,Li2Hg19S15,1.876587826309525,1.8765878316666615,5.3571365121740655e-09
Li2P19S15,Li2P19S15,2.0428486873712868,2.04284869609951,8.728223033216409e-09
LiS3,Li1S3,2.1291348932380956,2.1291349352381106,4.200001502141504e-08
Li2Te19S15,Li2Te19S15,3.1410303534523765,3.1410303641666735,1.0714297005165463e-08
LiGe2S,Li1Ge2S1,1.6202451516666683,1.8821699216666676,0.26192476999999936
LiAlS2,Li1Al1S2,0.9655603283333343,2.671237544761908,1.7056772164285738
Li2As6S,Li2As6S1,0.9731775887500014,1.8426497849999968,0.8694721962499954
Li17Al6S5,Li17Al6S5,0.22573910166666522,0.22573911666666824,1.5000003017462404e-08
Li3S5,Li3S5,2.129134893809524,2.129134900952386,7.142862301634523e-09
Li6In4S,Li6In4S1,0.5009315293939509,0.5009315431439356,1.3749984706379337e-08
Li3Zn8S5,Li3Zn8S5,1.1923489098809519,1.1923489146428619,4.761909977446521e-09
Li2SiS2,Li2Si1S2,1.496681385416669,1.4966813954166662,9.999997274690031e-09
LiS2Cl5,Li1S2Cl5,3.5260458794791685,3.526045894479168,1.4999999464748726e-08
Li10S,Li10S1,-0.0,1.2500001034254637e-09,1.2500001034254637e-09
Li2S6Cl,Li2S6Cl1,2.8864464306666484,2.8864464640000147,3.333336628941197e-08
Li3Cd8S5,Li3Cd8S5,1.3634412552380955,1.3634412600000019,4.7619064247328424e-09
Li6SeS4,Li6Se1S4,2.0324757420833333,2.0324757465277794,4.444446144447056e-09
LiGa5S2,Li1Ga5S2,1.304364953333335,1.4964254416666654,0.19206048833333034
Li2Se19S15,Li2Se19S15,2.1266874125232267,2.12668741783855,5.315323292620633e-09
Li7S4,Li7S4,2.1291348852380887,2.129134896904765,1.1666676513755192e-08
Li8S,Li8S1,-0.0,1.6666672486564948e-09,1.6666672486564948e-09
LiAl2S5,Li1Al2S5,2.671237525333332,2.6712375533333423,2.8000010310336165e-08
Li2BS6,Li2B1S6,2.1291348935714316,2.1291349752380757,8.166664411390911e-08
Li2InS2,Li2In1S2,1.4276477016666695,1.4276477166666672,1.4999997688391886e-08
LiS7,Li1S7,3.1410303458333333,3.1410303691666703,2.333333704029883e-08
Li2PbS2,Li2Pb1S2,1.471095111666667,2.1062726941666687,0.6351775825000017
Li2Hg15S19,Li2Hg15S19,2.1291348935714325,2.129134905238076,1.1666643651153663e-08
Li2P15S19,Li2P15S19,2.158418322096157,2.158418329036472,6.9403149893787486e-09
Li6CS4,Li6C1S4,2.0376912788095236,2.037691285476192,6.6666685505367695e-09
Li2Ge19S15,Li2Ge19S15,1.882169910897436,1.8821699166666739,5.769237976238628e-09
Ba(LiS3)2,Ba1Li2S6,2.1291348927380955,2.1291349032381,1.0500004421487574e-08
LiCS2,Li1C1S2,2.0376912804761917,2.0376912938095266,1.333333488062749e-08
Li2SeS2,Li2Se1S2,2.0324757420833346,2.0324757620833296,1.9999994993469272e-08
Li17P6S5,Li17P6S5,0.8697028620075762,0.8697028729166543,1.0909078085319379e-08
Li4S,Li4S1,-0.0,5.00000107983567e-09,5.00000107983567e-09
Na8Li3S5,Na8Li3S5,0.41707611666666633,0.4170761316666609,1.4999994579767417e-08
Li17Mg6S5,Li17Mg6S5,0.008576560757577845,0.008576571666643495,1.0909065650821503e-08
Li2PbS6,Li2Pb1S6,2.12913489357143,2.1291349052380975,1.1666667631970995e-08
Ba5Li3S8,Ba5Li3S8,1.9558316683333357,1.9558316749999989,6.666663221466251e-09
Li17As5S6,Li17As5S6,0.937400056291668,0.9731775924166657,0.03577753612499768
LiS2F5,Li1S2F5,3.7092551861979164,3.709255198697919,1.2500002810611477e-08
Li3Se5S8,Li3Se5S8,2.12668741071733,2.126687416171875,5.4545452599086275e-09
LiAs2S5,Li1As2S5,2.2255137811666685,2.2255138025,2.133333154574757e-08
Li2As2S,Li2As2S1,0.9731775854166642,1.842649785000007,0.8694721995833428
Li6Cd4S,Li6Cd4S1,0.11109932291666658,0.424020657916667,0.3129213350000004
LiCaS2,Li1Ca1S2,2.1291348852380976,2.1291349085714284,2.333333082304989e-08
Li3Ca5S8,Li3Ca5S8,2.129134891904765,2.1291348996825334,7.77776865135138e-09
Li6C4S,Li6C4S1,-0.0,2.727271519731289e-09,2.727271519731289e-09
Li17Ga5S6,Li17Ga5S6,0.43529978866666097,0.5432268374666704,0.10792704880000947
Li2SF6,Li2S1F6,3.7092551861979155,3.956873561041668,0.2476183748437526
Li3B5S8,Li3B5S8,1.8469908544628533,1.846990989462196,1.3499934281568926e-07
Li3S8I5,Li3S8I5,2.844626774166663,2.844626786666674,1.2500010804217254e-08
Li11S3,Li11S3,-0.0,1.999999721391532e-09,1.999999721391532e-09
Li17In5S6,Li17In5S6,0.500931531393968,0.5009315423939285,1.0999960498025985e-08
Li2GaS6,Li2Ga1S6,2.1291348938095256,2.6357922752380984,0.5066573814285729
Li3Hg5S8,Li3Hg5S8,2.1291348919047612,2.1291348996825405,7.777779309492416e-09
Ba2Li2S,Ba2Li2S1,0.0009245400000006398,0.0009245499999994689,9.999998829002266e-09
Sr(LiS)2,Sr1Li2S2,-0.0,2.0599100979166707,2.0599100979166707
Sr(LiS3)2,Sr1Li2S6,2.1291348927380964,2.1291349032380964,1.0499999980595476e-08
Li3Al8S5,Li3Al8S5,0.9655603302380968,0.9655603516666567,2.1428559815461767e-08
Li17S6I5,Li17S6I5,-0.0,2.129134896190476,2.129134896190476
Li6Si4S,Li6Si4S1,0.35690826169642786,0.35690826607143,4.3750021383459625e-09
Li17Al5S6,Li17Al5S6,0.2257391026666884,0.32959545466664997,0.10385635199996157
Li6SiS4,Li6Si1S4,1.4966813854166632,1.496681395416672,1.0000008821009487e-08
Li2AlS6,Li2Al1S6,2.1291348938095247,2.671237544761916,0.5421026509523914
Li2HgS2,Li2Hg1S2,1.8765878216666674,2.1291349009523826,0.2525470792857152
Li6CaS4,Li6Ca1S4,-0.0,2.1291348971428574,2.1291348971428574
Li2HgS6,Li2Hg1S6,2.1291348939880956,2.129134908571438,1.4583342533569521e-08
Li17Sn5S6,Li17Sn5S6,0.4954024789166671,0.6625682050000012,0.16716572608333413
Li2CaS6,Li2Ca1S6,2.1291348939880965,2.1291349085714346,1.4583338092677423e-08
LiS5Cl2,Li1S5Cl2,2.8864464462222266,2.88644649066664,4.44444134828359e-08
Li17Si5S6,Li17Si5S6,0.35690826207143456,0.3569082655714233,3.4999887432718424e-09
Li6CdS4,Li6Cd1S4,1.3634412516666639,2.129134897142859,0.7656936454761953
Li2S15Cl19,Li2S15Cl19,3.526045879479172,3.526045889479165,9.999992833797933e-09
Li17S6Cl5,Li17S6Cl5,-0.0,2.129134896190477,2.129134896190477
Li3As8S5,Li3As8S5,1.8975900927083331,1.8975901010416663,8.333333134658005e-09
Li2Zn6S,Li2Zn6S1,0.6849905116666664,1.192348916309525,0.5073584046428588
Li2TeS6,Li2Te1S6,2.503163645454542,2.5031637187878975,7.33333553881721e-08
LiSF2,Li1S1F2,3.709255178697915,3.7092551986979183,2.000000343116426e-08
Li11S5,Li11S5,-0.0,9.999992167664118e-09,9.999992167664118e-09
Li2Se2S,Li2Se2S1,2.1266874070052095,2.126687417838542,1.0833332453330513e-08
Li2GaS2,Li2Ga1S2,1.3043649516666673,1.3043649666666712,1.5000003905640824e-08
Li3B8S5,Li3B8S5,1.6066680776388904,1.6066680919246035,1.428571305694959e-08
Li2In6S,Li2In6S1,0.5265272616666645,1.4276477133333394,0.9011204516666749
Li2Sn15S19,Li2Sn15S19,1.9593249811666649,1.959324989166674,8.000009099617955e-09
Li6GaS4,Li6Ga1S4,1.3043649516666709,1.3043649666666632,1.4999992359321368e-08
Li17Pb6S5,Li17Pb6S5,0.3951090855555601,0.39510909666662863,1.1111068509706001e-08
Ba15Li2S19,Ba15Li2S19,1.9558316700000078,1.9558316766666461,6.6666383524705e-09
Li17S5Cl6,Li17S5Cl6,-0.0,9.99999993922529e-09,9.99999993922529e-09
